Date,Temperature (Max),Temperature (Avg),Temperature (Min),Dew Point(Max),Dew Point(Avg),Dew Point(Min),Humidity(Max),Humidity(Avg),Humidity(Min),Wind Speed(Max),Wind Speed(Avg),Wind Speed(Min),Pressure(Max),Pressure(Avg),Pressure(Min),Precipitation(Total)
01-01-2024,28.3,19.6,13.9,16.1,14.4,12.8,34.4,24.1,8.3,1,0.1,0,28.1,28.1,28,0
02-01-2024,30,22.2,14.4,16.7,15.1,13.3,34.4,20.4,1.7,1,0.5,0,28.1,28.1,28,0
03-01-2024,29.4,22.2,17.2,17.8,15.9,14.4,35.6,21.9,3.9,2,0.8,0,28.1,28,28,0
04-01-2024,28.9,21.6,16.1,18.3,14.9,10.6,34.4,21,-0.6,2,0.4,0,28.1,28,28,0
05-01-2024,27.8,21.2,15,15,14.1,11.7,34.4,19.2,4.4,1,0.4,0,28.1,28,28,0
06-01-2024,27.8,21.7,15,18.3,16.1,13.3,33.3,22.2,9.4,3,0.8,0,28.1,28.1,28,0
07-01-2024,28.9,23.1,16.7,16.7,15.5,13.9,32.2,18.8,5.6,3,0.9,0,28.1,28.1,28,0
08-01-2024,28.9,22.6,16.7,16.7,15,12.8,28.9,18.3,3.3,6,2,0,28.1,28.1,28,0
09-01-2024,24.4,20.6,18.9,20,18.5,17.2,35.6,31.1,24.4,3,1,0,28.1,28.1,28.1,0
10-01-2024,24.4,20.8,17.8,19.4,18.1,16.7,35,29.2,17.2,2,0.4,0,28.1,28.1,28.1,2.032
11-01-2024,30.6,23.1,17.8,18.3,16.3,14.4,34.4,21.4,2.8,3,1.1,0,28.2,28.1,28.1,0
12-01-2024,31.7,22.7,16.7,16.7,15.3,13.3,35.6,20.4,0.6,5,0.8,0,28.1,28.1,28,0
13-01-2024,32.2,23.3,16.1,17.2,15.3,12.2,34.4,18.9,-1.7,2,0.6,0,28.2,28.1,28.1,0
14-01-2024,32.2,23.4,16.1,21.7,16.9,12.8,34.4,20.6,5,3,0.6,0,28.2,28.1,28.1,0
15-01-2024,31.1,20.6,12.8,12.8,9.4,5.6,33.9,13.8,-6.7,3,1.5,0,28.1,28.1,28,0
16-01-2024,31.1,20.8,11.7,17.2,12.9,8.9,33.9,19.1,1.1,5,0.9,0,28.1,28,27.9,0
17-01-2024,30,20.8,13.3,18.9,14.3,11.7,35.6,21.4,3.3,5,1.5,0,28.1,28,27.9,0
18-01-2024,27.2,19.1,12.2,13.3,12.7,11.7,36.1,21.4,2.8,3,1,0,28.1,28.1,28,0
19-01-2024,30.6,20.8,12.2,15.6,13.1,11.1,33.9,19.1,-0.6,12,2.4,0,28.1,28,28,0
20-01-2024,30,21.3,14.4,15.6,13.7,12.8,34.4,19.3,3.3,5,1.9,0,28.1,28.1,28,0
21-01-2024,28.3,20.3,14.4,15,14.1,13.3,35.6,21.7,6.1,7,1.1,0,28.1,28.1,28,0
22-01-2024,31.1,21.4,13.9,15.6,13.6,11.1,32.8,18.8,1.7,3,1,0,28.1,28.1,28,0
23-01-2024,28.3,19.2,12.8,13.9,10.6,6.7,36.1,17.7,-3.9,2,0.4,0,28.1,28.1,28,0
24-01-2024,27.8,18.1,11.7,11.1,10,8.3,35,17.8,0,3,0.5,0,28.2,28.1,28,0
25-01-2024,27.8,18.2,10.6,10.6,9.2,5.6,35,17,-1.7,1,0.4,0,28.2,28.1,28.1,0
26-01-2024,30,20,11.1,14.4,12.8,10,33.9,20.3,3.3,3,0.6,0,28.2,28.2,28.1,0
27-01-2024,30,20.8,13.9,13.9,13.3,12.2,32.8,19.2,2.8,3,0.9,0,28.2,28.2,28.1,0
28-01-2024,30.6,22.2,14.4,15.6,13.9,12.8,34.4,17.4,0.6,1,0.3,0,28.2,28.2,28.1,0
29-01-2024,30.6,22.2,15,18.3,14.1,12.2,33.3,17.7,0.6,2,0.5,0,28.2,28.1,28.1,0
30-01-2024,30.6,22.1,13.9,16.1,13.1,11.1,32.8,16.9,-1.7,3,1,0,28.2,28.1,28,0
31-01-2024,28.9,15.9,-17.8,13.9,12.1,9.4,32.8,11.4,-17.8,25,5,0,28.1,28.1,28,0
01-02-2024,28.9,20.3,12.8,20,13.1,9.4,32.8,19.4,2.8,3,1.4,0,28.2,28.1,28.1,0
02-02-2024,28.9,20.3,13.9,13.9,12.4,11.1,33.9,18.3,0,5,0.9,0,28.2,28.1,28.1,0
03-02-2024,30.6,21.4,13.3,13.9,12.7,11.7,33.9,16.9,-0.6,3,0.8,0,28.2,28.1,28.1,0
04-02-2024,32.2,23.5,15,17.2,15.6,12.8,32.2,18.5,3.3,3,0.5,0,28.2,28.2,28.1,0
05-02-2024,34.4,24.5,17.2,16.7,14.9,12.2,32.2,16,-3.3,5,1.1,0,28.2,28.1,28.1,0
06-02-2024,33.9,25.1,16.7,15.6,14.3,12.8,31.1,13.8,-1.7,5,1.1,0,28.2,28.1,28.1,0
07-02-2024,34.4,24.3,16.7,21.7,13.5,8.3,30,14.1,-5,3,0.9,0,28.2,28.1,28.1,0
08-02-2024,32.2,22.4,15,15.6,14.1,11.7,34.4,18.1,-1.7,3,0.6,0,28.2,28.1,28.1,0
09-02-2024,32.8,23.3,14.4,15,12,3.9,32.2,14.1,-8.9,6,1.5,0,28.2,28.1,28.1,0
10-02-2024,34.4,23.1,13.9,14.4,10.5,4.4,32.8,12.7,-8.9,3,1,0,28.2,28.1,28.1,0
11-02-2024,32.8,22.1,12.8,12.8,10.5,3.3,31.7,13.6,-8.9,2,0.7,0,28.2,28.1,28.1,0
12-02-2024,32.2,23.1,13.9,13.3,9.7,5.6,30.6,10.1,-6.7,6,1.1,0,28.2,28.1,28.1,0
13-02-2024,32.8,22.8,14.4,12.8,9.3,4.4,27.8,10.1,-7.8,2,0.5,0,28.2,28.1,28.1,0
14-02-2024,30.6,21.9,14.4,13.9,11.3,8.9,28.9,13.6,-3.3,5,0.8,0,28.2,28.1,28.1,0
15-02-2024,32.2,24.1,15,16.1,14.3,12.2,30,14.9,0,2,0.6,0,28.2,28.1,28,0
16-02-2024,33.9,24.7,18.3,16.1,12.8,10.6,27.2,11.4,-3.9,2,0.6,0,28.2,28.1,28.1,0
17-02-2024,34.4,24.5,16.7,15.6,11.3,5.6,28.3,10.4,-8.3,1,0.1,0,28.1,28.1,28,0
18-02-2024,33.3,24.7,16.1,15.6,11.3,6.1,27.2,10.7,-7.8,2,0.6,0,28.1,28,28,0
19-02-2024,33.3,23.5,15.6,16.7,9.9,6.1,32.2,10.6,-7.8,2,0.9,0,28.1,28.1,28,0
20-02-2024,33.9,23.8,13.9,12.2,9.1,5,26.7,7.8,-7.8,5,1.3,0,28.1,28.1,28,0
21-02-2024,31.7,22.9,15,15.6,11.9,7.2,28.3,12.8,-6.1,3,1.6,0,28.1,28.1,28,0
22-02-2024,31.1,22.4,13.9,16.1,12.1,6.1,31.7,15.2,-6.1,5,1.5,0,28.1,28.1,28,0
23-02-2024,31.7,22.1,12.8,13.3,7.4,-17.8,33.9,10.9,-17.8,3,1.1,0,28.1,28.1,28,0
24-02-2024,32.8,21.8,13.3,13.9,6.9,2.8,32.8,7.6,-8.3,6,0.9,0,28.1,28,28,0
25-02-2024,32.2,22.5,12.2,11.1,8.1,1.7,22.8,7.4,-7.8,5,1.3,0,28.1,28,27.9,0
